# nucleosome dinucleotide model
# from to transition_prob
1 2 1.0
2 3 1.0
3 4 1.0
4 5 1.0
5 6 1.0
6 7 1.0
7 8 1.0
8 9 1.0
# 1 branched background state
9 10 0.3168
9 11 0.184
9 12 0.1976
9 13 0.3016
10 14 0.3529040404040404
10 15 0.18623737373737373
10 16 0.22537878787878787
10 17 0.23547979797979798
11 14 0.35108695652173916
11 15 0.175
11 16 0.17717391304347826
11 17 0.2967391304347826
12 14 0.3026315789473684
12 15 0.20647773279352227
12 16 0.21761133603238866
12 17 0.2732793522267207
13 14 0.27254641909814326
13 15 0.19496021220159152
13 16 0.20689655172413793
13 17 0.3255968169761273
14 18 0.32726130653266333
14 19 0.19032663316582915
14 20 0.2305276381909548
14 21 0.2518844221105528
15 18 0.3113207547169811
15 19 0.19916142557651992
15 20 0.19916142557651992
15 21 0.29035639412997905
16 18 0.3027698185291309
16 19 0.20057306590257878
16 20 0.23400191021967526
16 21 0.2626552053486151
17 18 0.2579957356076759
17 19 0.19900497512437812
17 20 0.2345415778251599
17 21 0.30845771144278605
18 22 0.32910547396528705
18 23 0.19359145527369825
18 24 0.22763684913217624
18 25 0.24966622162883845
19 22 0.3377416073245168
19 23 0.1953204476093591
19 24 0.17599186164801628
19 25 0.29094608341810785
20 22 0.27208480565371024
20 23 0.24558303886925795
20 24 0.21201413427561838
20 25 0.2703180212014134
21 22 0.28190338860850755
21 23 0.20043258832011535
21 24 0.2191780821917808
21 25 0.29848594087959623
22 26 0.3615485564304462
22 27 0.18766404199475065
22 28 0.20603674540682415
22 29 0.244750656167979
23 26 0.35452793834296725
23 27 0.19460500963391136
23 28 0.14739884393063585
23 29 0.30346820809248554
24 26 0.30812854442344045
24 27 0.24196597353497165
24 28 0.1890359168241966
24 29 0.2608695652173913
25 26 0.2673913043478261
25 27 0.18115942028985507
25 28 0.23695652173913043
25 29 0.3144927536231884
26 30 0.3915737298636927
26 31 0.15117719950433706
26 32 0.19206939281288724
26 33 0.265179677819083
