# nucleosome dinucleotide model
# from to transition_prob
1 2 1.0
2 3 1.0
3 4 1.0
4 5 1.0
5 6 1.0
6 7 1.0
7 8 1.0
8 9 1.0
# 1 branched background state
9 10 0.3154
9 11 0.1934
9 12 0.1986
9 13 0.2926
10 14 0.32593532022828153
10 15 0.19150285351934052
10 16 0.21940393151553583
10 17 0.2631578947368421
11 14 0.36608066184074456
11 15 0.18304033092037228
11 16 0.15718717683557393
11 17 0.2936918304033092
12 14 0.2940584088620342
12 15 0.23061430010070494
12 16 0.20745216515609266
12 17 0.2678751258811682
13 14 0.2857142857142857
13 15 0.1975393028024607
13 16 0.21736158578263842
13 17 0.2993848257006152
14 18 0.31368821292775667
14 19 0.20659062103929024
14 20 0.22877059569074779
14 21 0.2509505703422053
15 18 0.3510531594784353
15 19 0.20762286860581744
15 20 0.17452357071213642
15 21 0.2668004012036108
16 18 0.2974559686888454
16 19 0.2436399217221135
16 20 0.21330724070450097
16 21 0.2455968688845401
17 18 0.27084818246614395
17 19 0.1917320028510335
17 20 0.2344975053456878
17 21 0.3029223093371347
18 22 0.33747547416612167
18 23 0.2001308044473512
18 24 0.2092871157619359
18 25 0.25310660562459125
19 22 0.3425309229305423
19 23 0.20837297811607994
19 24 0.17887725975261656
19 25 0.2702188392007612
20 22 0.2948243992606285
20 23 0.21903881700554528
20 24 0.20794824399260628
20 25 0.27818853974122
21 22 0.2757847533632287
21 23 0.20478325859491778
21 24 0.22720478325859492
21 25 0.2922272047832586
22 26 0.358695652173913
22 27 0.17710997442455242
22 28 0.21483375959079284
22 29 0.24936061381074168
23 26 0.3436293436293436
23 27 0.18629343629343628
23 28 0.17374517374517376
23 29 0.29633204633204635
24 26 0.3317261330761813
24 27 0.18900675024108005
24 28 0.18900675024108005
24 29 0.29026036644165865
25 26 0.2582538517975055
25 27 0.1760821716801174
25 28 0.24358033749082905
25 29 0.3220836390315481
26 30 0.39429634221946686
26 31 0.15189088654680719
26 32 0.19466831990080596
26 33 0.25914445133292
