# nucleosome dinucleotide model
# from to transition_prob
1 2 1.0
2 3 1.0
3 4 1.0
4 5 1.0
5 6 1.0
6 7 1.0
7 8 1.0
8 9 1.0
# 1 branched background state
9 10 0.3218
9 11 0.1872
9 12 0.1962
9 13 0.2948
10 14 0.3511497824735861
10 15 0.1783716594157862
10 16 0.21628340584213798
10 17 0.25419515226848977
11 14 0.3782051282051282
11 15 0.18376068376068377
11 16 0.172008547008547
11 17 0.266025641025641
12 14 0.3007135575942915
12 15 0.2018348623853211
12 16 0.2130479102956167
12 17 0.28440366972477066
13 14 0.25576662143826323
13 15 0.1994572591587517
13 16 0.21099050203527817
13 17 0.3337856173677069
14 18 0.3060967944688875
14 19 0.20050282840980516
14 20 0.2382149591451917
14 21 0.25518541797611566
15 18 0.34279705573080965
15 19 0.2103049421661409
15 20 0.17875920084121977
15 21 0.26813880126182965
16 18 0.3138969873663751
16 19 0.22157434402332363
16 20 0.21574344023323616
16 21 0.2487852283770651
17 18 0.25892232330300907
17 19 0.1994401679496151
17 20 0.2547235829251225
17 21 0.28691392582225334
18 22 0.3207171314741036
18 23 0.19389110225763612
18 24 0.21314741035856574
18 25 0.27224435590969454
19 22 0.312015503875969
19 23 0.22286821705426357
19 24 0.17344961240310078
19 25 0.2916666666666667
20 22 0.2933920704845815
20 23 0.22995594713656387
20 24 0.19911894273127753
20 25 0.2775330396475771
21 22 0.2629992464204974
21 23 0.23134890730972119
21 24 0.1966842501883949
21 25 0.3089675960813866
22 26 0.3813046402151984
22 27 0.1694687289845326
22 28 0.20107599193006054
22 29 0.24815063887020847
23 26 0.3779816513761468
23 27 0.1908256880733945
23 28 0.14862385321100918
23 29 0.28256880733944956
24 26 0.315096251266464
24 27 0.2077001013171226
24 28 0.182370820668693
24 29 0.2948328267477204
25 26 0.2757660167130919
25 27 0.1775766016713092
25 28 0.22353760445682452
25 29 0.3231197771587744
26 30 0.39679715302491103
26 31 0.14887307236061684
26 32 0.2040332147093713
26 33 0.25029655990510086
