# nucleosome dinucleotide model
# from to transition_prob
1 2 1.0
2 3 1.0
3 4 1.0
4 5 1.0
5 6 1.0
6 7 1.0
7 8 1.0
8 9 1.0
# 1 branched background state
9 10 0.3144
9 11 0.1872
9 12 0.2092
9 13 0.2892
10 14 0.3594147582697201
10 15 0.178117048346056
10 16 0.21819338422391857
10 17 0.24427480916030533
11 14 0.3344017094017094
11 15 0.18696581196581197
11 16 0.19123931623931623
11 17 0.28739316239316237
12 14 0.29636711281070743
12 15 0.21414913957934992
12 16 0.21414913957934992
12 17 0.27533460803059273
13 14 0.29114799446749656
13 15 0.18741355463347165
13 16 0.1991701244813278
13 17 0.32226832641770403
14 18 0.3281541330018645
14 19 0.18023617153511498
14 20 0.23927905531385954
14 21 0.25233064014916096
15 18 0.3473684210526316
15 19 0.18842105263157893
15 20 0.1631578947368421
15 21 0.30105263157894735
16 18 0.293036750483559
16 19 0.2263056092843327
16 20 0.20696324951644102
16 21 0.2736943907156673
17 18 0.2572850035536603
17 19 0.19260838663823737
17 20 0.2537313432835821
17 21 0.29637526652452023
18 22 0.33420879842416285
18 23 0.19107025607353906
18 24 0.21339461588969139
18 25 0.2613263296126067
19 22 0.3470225872689938
19 23 0.19507186858316222
19 24 0.17864476386036962
19 25 0.2792607802874743
20 22 0.28352835283528355
20 23 0.22772277227722773
20 24 0.21062106210621062
20 25 0.2781278127812781
21 22 0.2765804597701149
21 23 0.22844827586206898
21 24 0.20186781609195403
21 25 0.29310344827586204
22 26 0.3742727860374919
22 27 0.1777634130575307
22 28 0.20555914673561732
22 29 0.24240465416936005
23 26 0.33365019011406843
23 27 0.20817490494296578
23 28 0.155893536121673
23 29 0.30228136882129275
24 26 0.31952662721893493
24 27 0.22386587771203156
24 28 0.20019723865877712
24 29 0.2564102564102564
25 26 0.277577505407354
25 27 0.1809661139149243
25 28 0.23071377072819033
25 29 0.31074260994953135
26 30 0.38316046369737644
26 31 0.14399023794996949
26 32 0.20439292251372787
26 33 0.2684563758389262
