# nucleosome dinucleotide model
# from to transition_prob
1 2 1.0
2 3 1.0
3 4 1.0
4 5 1.0
5 6 1.0
6 7 1.0
7 8 1.0
8 9 1.0
# 1 branched background state
9 10 0.3178
9 11 0.19
9 12 0.202
9 13 0.2902
10 14 0.35431088735053495
10 15 0.19886721208307112
10 16 0.19509125235997482
10 17 0.2517306482064191
11 14 0.3263157894736842
11 15 0.21263157894736842
11 16 0.1631578947368421
11 17 0.29789473684210527
12 14 0.29108910891089107
12 15 0.2306930693069307
12 16 0.200990099009901
12 17 0.27722772277227725
13 14 0.284631288766368
13 15 0.2033080634045486
13 16 0.20468642315644384
13 17 0.3073742246726396
14 18 0.3341772151898734
14 19 0.19430379746835444
14 20 0.22151898734177214
14 21 0.25
15 18 0.34321223709369025
15 19 0.20650095602294455
15 20 0.1701720841300191
15 21 0.2801147227533461
16 18 0.29844559585492225
16 19 0.23316062176165803
16 20 0.20725388601036268
16 21 0.261139896373057
17 18 0.27963094393186655
17 19 0.19446415897799857
17 20 0.23491838183108588
17 21 0.29098651525904895
18 22 0.33205863607393243
18 23 0.16953473550031867
18 24 0.25239005736137665
18 25 0.24601657106437222
19 22 0.34833659491193736
19 23 0.1917808219178082
19 24 0.18297455968688844
19 25 0.27690802348336596
20 22 0.2927289896128423
20 23 0.20868744098205855
20 24 0.1954674220963173
20 25 0.3031161473087819
21 22 0.2725925925925926
21 23 0.19925925925925925
21 24 0.21555555555555556
21 25 0.3125925925925926
22 26 0.352411575562701
22 27 0.1742765273311897
22 28 0.2090032154340836
22 29 0.2643086816720257
23 26 0.3445378151260504
23 27 0.20378151260504201
23 28 0.15021008403361344
23 29 0.3014705882352941
24 26 0.3348751156336725
24 27 0.20814061054579094
24 28 0.2072155411655874
24 29 0.24976873265494912
25 26 0.2981586402266289
25 27 0.16288951841359772
25 28 0.22096317280453256
25 29 0.31798866855524077
26 30 0.4050632911392405
26 31 0.13743218806509946
26 32 0.2109704641350211
26 33 0.24653405666063893
