# nucleosome dinucleotide model
# from to transition_prob
1 2 1.0
2 3 1.0
3 4 1.0
4 5 1.0
5 6 1.0
6 7 1.0
7 8 1.0
8 9 1.0
# 1 branched background state
9 10 0.3306
9 11 0.1796
9 12 0.1972
9 13 0.2926
10 14 0.3442226255293406
10 15 0.1881427707199032
10 16 0.1881427707199032
10 17 0.279491833030853
11 14 0.34855233853006684
11 15 0.17817371937639198
11 16 0.1759465478841871
11 17 0.2973273942093541
12 14 0.30324543610547666
12 15 0.1997971602434077
12 16 0.24239350912778904
12 17 0.25456389452332656
13 14 0.291866028708134
13 15 0.20164046479835954
13 16 0.1975393028024607
13 17 0.3089542036910458
14 18 0.3308457711442786
14 19 0.20087064676616914
14 20 0.236318407960199
14 21 0.23196517412935325
15 18 0.28868120456905505
15 19 0.20768431983385255
15 20 0.17964693665628245
15 21 0.32398753894080995
16 18 0.31293881644934807
16 19 0.20260782347041123
16 20 0.23269809428284854
16 21 0.25175526579739216
17 18 0.2674581005586592
17 19 0.1857541899441341
17 20 0.22905027932960895
17 21 0.31773743016759776
18 22 0.32691029900332225
18 23 0.18272425249169436
18 24 0.2186046511627907
18 25 0.2717607973421927
19 22 0.3329969727547931
19 23 0.1987891019172553
19 24 0.1715438950554995
19 25 0.2966700302724521
20 22 0.2866127583108715
20 23 0.2389937106918239
20 24 0.20035938903863432
20 25 0.27403414195867026
21 22 0.24874191229331416
21 23 0.2350826743350108
21 24 0.21207764198418405
21 25 0.304097771387491
22 26 0.3718897108271688
22 27 0.17552118359112306
22 28 0.20712844653665097
22 29 0.24546065904505715
23 26 0.34178403755868547
23 27 0.2140845070422535
23 28 0.1352112676056338
23 29 0.3089201877934272
24 26 0.3559488692232055
24 27 0.20943952802359883
24 28 0.17305801376597837
24 29 0.2615535889872173
25 26 0.27882599580712786
25 27 0.18658280922431866
25 28 0.21733053808525507
25 29 0.3172606568832984
26 30 0.37961859356376637
26 31 0.16150178784266986
26 32 0.19904648390941598
26 33 0.2598331346841478
