# nucleosome dinucleotide model
# from to transition_prob
1 2 1.0
2 3 1.0
3 4 1.0
4 5 1.0
5 6 1.0
6 7 1.0
7 8 1.0
8 9 1.0
# 1 branched background state
9 10 0.3246
9 11 0.178
9 12 0.197
9 13 0.3004
10 14 0.3111521873074553
10 15 0.1922365988909427
10 16 0.22674060382008626
10 17 0.2698706099815157
11 14 0.3359550561797753
11 15 0.1797752808988764
11 16 0.18089887640449437
11 17 0.30337078651685395
12 14 0.32893401015228424
12 15 0.2101522842639594
12 16 0.21218274111675126
12 17 0.24873096446700507
13 14 0.2596537949400799
13 15 0.2197070572569907
13 16 0.20439414114513982
13 17 0.3162450066577896
14 18 0.3339920948616601
14 19 0.18115942028985507
14 20 0.23122529644268774
14 21 0.2536231884057971
15 18 0.33002973240832506
15 19 0.21704658077304262
15 20 0.1595639246778989
15 21 0.2933597621407334
16 18 0.29282296650717704
16 19 0.23062200956937798
16 20 0.23157894736842105
16 21 0.24497607655502393
17 18 0.24789915966386555
17 19 0.19957983193277312
17 20 0.24789915966386555
17 21 0.30462184873949577
18 22 0.318
18 23 0.196
18 24 0.224
18 25 0.262
19 22 0.35784313725490197
19 23 0.21568627450980393
19 24 0.13529411764705881
19 25 0.2911764705882353
20 22 0.2870036101083033
20 23 0.22202166064981949
20 24 0.2319494584837545
20 25 0.25902527075812276
21 22 0.26384839650145775
21 23 0.2018950437317784
21 24 0.2164723032069971
21 25 0.3177842565597668
22 26 0.35742444152431013
22 27 0.18331143232588698
22 28 0.21419185282522996
22 29 0.24507227332457293
23 26 0.3355834136933462
23 27 0.19575699132111862
23 28 0.14175506268081003
23 29 0.32690453230472516
24 26 0.3093385214007782
24 27 0.22957198443579765
24 28 0.20719844357976655
24 29 0.2538910505836576
25 26 0.283793347487615
25 27 0.2024062278839349
25 28 0.2094833687190375
25 29 0.3043170559094126
26 30 0.3755431409062694
26 31 0.15021725636250777
26 32 0.19242706393544382
26 33 0.281812538795779
27 30 0.36852589641434264
