# nucleosome dinucleotide model
# from to transition_prob
1 2 1.0
2 3 1.0
3 4 1.0
4 5 1.0
5 6 1.0
6 7 1.0
7 8 1.0
8 9 1.0
# 1 branched background state
9 10 0.313
9 11 0.188
9 12 0.2016
9 13 0.2974
10 14 0.3226837060702875
10 15 0.21661341853035143
10 16 0.19808306709265175
10 17 0.2626198083067093
11 14 0.34893617021276596
11 15 0.17340425531914894
11 16 0.16489361702127658
11 17 0.3127659574468085
12 14 0.29365079365079366
12 15 0.19345238095238096
12 16 0.24404761904761904
12 17 0.26884920634920634
13 14 0.25554808338937457
13 15 0.2125084061869536
13 16 0.1956960322797579
13 17 0.3362474781439139
14 18 0.31411530815109345
14 19 0.18820410868124585
14 20 0.2617627567925779
14 21 0.23591782637508282
15 18 0.2872655478775913
15 19 0.21915103652517276
15 20 0.1964461994076999
15 21 0.29713721618953604
16 18 0.3093812375249501
16 19 0.23053892215568864
16 20 0.20359281437125748
16 21 0.2564870259481038
17 18 0.2459349593495935
17 19 0.19241192411924118
17 20 0.2669376693766938
17 21 0.29471544715447157
18 22 0.34144645340751045
18 23 0.19123783031988872
18 24 0.19471488178025034
18 25 0.2726008344923505
19 22 0.3525954946131244
19 23 0.1841332027424094
19 24 0.1743388834476004
19 25 0.2889324191968658
20 22 0.27181208053691275
20 23 0.22902684563758388
20 24 0.22483221476510068
20 25 0.27432885906040266
21 22 0.2490733876945886
21 23 0.20904373610081542
21 24 0.23054114158636027
21 25 0.3113417346182357
22 26 0.37789543348775645
22 27 0.171409662475182
22 28 0.2071475843812045
22 29 0.24354731965585705
23 26 0.3349705304518664
23 27 0.19548133595284872
23 28 0.15717092337917485
23 29 0.31237721021611004
24 26 0.3124397299903568
24 27 0.21215043394406943
24 28 0.19382835101253615
24 29 0.2815814850530376
25 26 0.298465829846583
25 27 0.1708507670850767
25 28 0.21827057182705717
25 29 0.3124128312412831
26 30 0.4104567307692308
26 31 0.15745192307692307
26 32 0.19411057692307693
26 33 0.23798076923076922
