# nucleosome dinucleotide model
# from to transition_prob
1 2 1.0
2 3 1.0
3 4 1.0
4 5 1.0
5 6 1.0
6 7 1.0
7 8 1.0
8 9 1.0
# 1 branched background state
9 10 0.3312
9 11 0.1856
9 12 0.1942
9 13 0.289
10 14 0.3278985507246377
10 15 0.20169082125603865
10 16 0.21859903381642512
10 17 0.25181159420289856
11 14 0.33620689655172414
11 15 0.18211206896551724
11 16 0.15948275862068967
11 17 0.32219827586206895
12 14 0.2893923789907312
12 15 0.20494335736354274
12 16 0.2255406797116375
12 17 0.2801235839340886
13 14 0.2885813148788927
13 15 0.2013840830449827
13 16 0.21591695501730104
13 17 0.29411764705882354
14 18 0.3168061815840309
14 19 0.19510624597553122
14 20 0.21764327108821635
14 21 0.27044430135222153
15 18 0.32729103726082576
15 19 0.21148036253776434
15 20 0.1691842900302115
15 21 0.29204431017119836
16 18 0.3314121037463977
16 19 0.21998078770413065
16 20 0.21037463976945245
16 21 0.23823246878001922
17 18 0.27176220806794055
17 19 0.1967445152158528
17 20 0.23849964614295824
17 21 0.2929936305732484
18 22 0.3240620957309185
18 23 0.2056921086675291
18 24 0.2238033635187581
18 25 0.24644243208279432
19 22 0.3411764705882353
19 23 0.20980392156862746
19 24 0.17549019607843136
19 25 0.2735294117647059
20 22 0.2862523540489642
20 23 0.23069679849340866
20 24 0.22128060263653485
20 25 0.2617702448210923
21 22 0.3032069970845481
21 23 0.2099125364431487
21 24 0.2193877551020408
21 25 0.26749271137026237
22 26 0.372848948374761
22 27 0.16252390057361377
22 28 0.21159974506054813
22 29 0.2530274059910771
23 26 0.36056338028169016
23 27 0.17089201877934274
23 28 0.15305164319248826
23 29 0.3154929577464789
24 26 0.34213006597549483
24 27 0.2111215834118756
24 28 0.16870876531573986
24 29 0.2780395852968897
25 26 0.2720306513409962
25 27 0.19233716475095786
25 28 0.22452107279693487
25 29 0.3111111111111111
26 30 0.4096028452874926
26 31 0.14463544754001187
26 32 0.17960877296976882
26 33 0.26615293420272673
