# nucleosome dinucleotide model
# from to transition_prob
1 2 1.0
2 3 1.0
3 4 1.0
4 5 1.0
5 6 1.0
6 7 1.0
7 8 1.0
8 9 1.0
# 1 branched background state
9 10 0.3048
9 11 0.1854
9 12 0.2096
9 13 0.3002
10 14 0.33267716535433073
10 15 0.20406824146981628
10 16 0.20078740157480315
10 17 0.26246719160104987
11 14 0.33980582524271846
11 15 0.1790722761596548
11 16 0.16720604099244876
11 17 0.313915857605178
12 14 0.29866412213740456
12 15 0.22423664122137404
12 16 0.21469465648854963
12 17 0.26240458015267176
13 14 0.26582278481012656
13 15 0.19920053297801465
13 16 0.23784143904063956
13 17 0.2971352431712192
14 18 0.32333767926988266
14 19 0.19426336375488917
14 20 0.24315514993481094
14 21 0.2392438070404172
15 18 0.3165182987141444
15 19 0.20672601384767555
15 20 0.19090009891196835
15 21 0.2858555885262117
16 18 0.31351869606903165
16 19 0.20038350910834132
16 20 0.18983700862895495
16 21 0.2962607861936721
17 18 0.2584985835694051
17 19 0.1820113314447592
17 20 0.254957507082153
17 21 0.3045325779036827
18 22 0.3209549071618037
18 23 0.1863395225464191
18 24 0.21750663129973474
18 25 0.27519893899204245
19 22 0.35149023638232274
19 23 0.19218910585817062
19 24 0.17574511819116137
19 25 0.2805755395683453
20 22 0.29537366548042704
20 23 0.23576512455516013
20 24 0.20551601423487545
20 25 0.26334519572953735
21 22 0.24014336917562723
21 23 0.23154121863799282
21 24 0.23870967741935484
21 25 0.2896057347670251
22 26 0.3697253851306095
22 27 0.1681178834561286
22 28 0.22371064969859344
22 29 0.23844608171466844
23 26 0.35321969696969696
23 27 0.17897727272727273
23 28 0.15151515151515152
23 29 0.3162878787878788
24 26 0.3123236124176858
24 27 0.21354656632173094
24 28 0.17873941674506114
24 29 0.2953904045155221
25 26 0.276657060518732
25 27 0.1685878962536023
25 28 0.22838616714697407
25 29 0.32636887608069165
26 30 0.3857404021937843
26 31 0.14868982327848873
26 32 0.2041438147471054
26 33 0.26142595978062155
