TF	n	genic	intergenic	genic_pct	intergenic_pct	genic_vs_null
Abf1	502	88	414	17.52988047808765	82.47011952191234	0.24021267775362823
Cin5	264	80	184	30.303030303030305	69.6969696969697	0.4152436784859551
Fhl1	84	15	69	17.857142857142858	82.14285714285714	0.24469716767922356
Fkh1	297	35	262	11.784511784511785	88.21548821548821	0.1614836527445381
Mcm1	179	25	154	13.966480446927374	86.03351955307262	0.19138325963738154
Nhp6a	138	26	112	18.84057971014493	81.15942028985508	0.25817324358039817
Rap1	356	36	320	10.112359550561797	89.8876404494382	0.1385700814722794
Reb1	583	54	529	9.262435677530018	90.73756432246998	0.12692353946174478
Sko1	182	82	100	45.05494505494506	54.94505494505495	0.6173897769137333
Spt15/TBP	259	26	233	10.038610038610038	89.96138996138995	0.13755948885750943
Tbf1	155	8	147	5.161290322580645	94.83870967741936	0.07072537491631752
Ume6	236	42	194	17.796610169491526	82.20338983050848	0.2438676857548872
random genome	200000	145953	54047	72.9765	27.0235	1.0
