TF	in_robocop	n_cx	genic_cx	intergenic_cx	genic_pct_cx	genic_vs_null_cx	n_motif	genic_motif	intergenic_motif	genic_pct_motif	genic_vs_null_motif	null_genic_pct
Aap1	False	16	16	0	100.0	1.37	NA	NA	NA	NA	NA	72.976
Abf1	True	724	169	555	23.34	0.32	502.0	88.0	414.0	17.53	0.24	72.976
Ace2	True	109	26	83	23.85	0.327	48.0	10.0	38.0	20.83	0.285	72.976
Acs2	False	405	212	193	52.35	0.717	56.0	37.0	19.0	66.07	0.905	72.976
Ada2	False	568	224	344	39.44	0.54	125.0	22.0	103.0	17.6	0.241	72.976
Aft2	True	36	9	27	25.0	0.343	16.0	0.0	16.0	0.0	0.0	72.976
Aor1	False	58	35	23	60.34	0.827	12.0	6.0	6.0	50.0	0.685	72.976
Aro80	True	9	1	8	11.11	0.152	NA	NA	NA	NA	NA	72.976
Arp6	False	6	3	3	50.0	0.685	3.0	1.0	2.0	33.33	0.457	72.976
Arp7	False	177	65	112	36.72	0.503	51.0	12.0	39.0	23.53	0.322	72.976
Asf2	False	97	58	39	59.79	0.819	16.0	9.0	7.0	56.25	0.771	72.976
Azf1	True	60	13	47	21.67	0.297	24.0	5.0	19.0	20.83	0.285	72.976
Bas1	True	97	25	72	25.77	0.353	55.0	9.0	46.0	16.36	0.224	72.976
Bcy1	False	868	706	162	81.34	1.115	86.0	80.0	6.0	93.02	1.275	72.976
Bdf1	False	742	438	304	59.03	0.809	73.0	53.0	20.0	72.6	0.995	72.976
Bdf2	False	509	278	231	54.62	0.748	45.0	29.0	16.0	64.44	0.883	72.976
Bdp1	False	207	15	192	7.25	0.099	7.0	1.0	6.0	14.29	0.196	72.976
Bre1	False	337	299	38	88.72	1.216	50.0	44.0	6.0	88.0	1.206	72.976
Bre2	False	239	226	13	94.56	1.296	43.0	42.0	1.0	97.67	1.338	72.976
Brf1	False	275	16	259	5.82	0.08	5.0	0.0	5.0	0.0	0.0	72.976
Brn1	False	66	20	46	30.3	0.415	24.0	4.0	20.0	16.67	0.228	72.976
Bur2	False	1152	1012	140	87.85	1.204	105.0	102.0	3.0	97.14	1.331	72.976
Bur6	False	1178	288	890	24.45	0.335	348.0	31.0	317.0	8.91	0.122	72.976
Bye1	False	373	64	309	17.16	0.235	81.0	12.0	69.0	14.81	0.203	72.976
Cad1	True	182	108	74	59.34	0.813	75.0	24.0	51.0	32.0	0.438	72.976
Cbc2	False	1155	963	192	83.38	1.143	100.0	89.0	11.0	89.0	1.22	72.976
Cbf1	True	200	58	142	29.0	0.397	132.0	31.0	101.0	23.48	0.322	72.976
Cca1	False	327	233	94	71.25	0.976	34.0	32.0	2.0	94.12	1.29	72.976
Ccl1	False	1087	111	976	10.21	0.14	226.0	18.0	208.0	7.96	0.109	72.976
Cdc46	False	454	66	388	14.54	0.199	139.0	9.0	130.0	6.47	0.089	72.976
Cft1	False	836	278	558	33.25	0.456	102.0	21.0	81.0	20.59	0.282	72.976
Cha4	True	93	73	20	78.49	1.076	24.0	13.0	11.0	54.17	0.742	72.976
Chd1	False	169	157	12	92.9	1.273	22.0	22.0	0.0	100.0	1.37	72.976
Cin5	True	557	157	400	28.19	0.386	264.0	80.0	184.0	30.3	0.415	72.976
Cka1	False	263	210	53	79.85	1.094	40.0	35.0	5.0	87.5	1.199	72.976
Cka2	False	195	168	27	86.15	1.181	40.0	36.0	4.0	90.0	1.233	72.976
Ckb1	False	3	0	3	0.0	0.0	NA	NA	NA	NA	NA	72.976
Ckb2	False	149	114	35	76.51	1.048	26.0	23.0	3.0	88.46	1.212	72.976
Cln1	False	31	3	28	9.68	0.133	15.0	2.0	13.0	13.33	0.183	72.976
Crz1	True	52	22	30	42.31	0.58	21.0	4.0	17.0	19.05	0.261	72.976
Cse2	False	107	50	57	46.73	0.64	44.0	17.0	27.0	38.64	0.529	72.976
Csn12	False	685	497	188	72.55	0.994	66.0	62.0	4.0	93.94	1.287	72.976
Ctk1	False	637	560	77	87.91	1.205	55.0	55.0	0.0	100.0	1.37	72.976
Ctk2	False	983	886	97	90.13	1.235	137.0	127.0	10.0	92.7	1.27	72.976
Ctk3	False	4	4	0	100.0	1.37	NA	NA	NA	NA	NA	72.976
Ctr9	False	1764	1562	202	88.55	1.213	161.0	149.0	12.0	92.55	1.268	72.976
Cup9	True	113	27	86	23.89	0.327	46.0	6.0	40.0	13.04	0.179	72.976
Cyc8	False	370	105	265	28.38	0.389	75.0	17.0	58.0	22.67	0.311	72.976
Dat1	False	496	287	209	57.86	0.793	54.0	27.0	27.0	50.0	0.685	72.976
Dbf4	False	34	26	8	76.47	1.048	4.0	3.0	1.0	75.0	1.028	72.976
Dbp2	False	394	336	58	85.28	1.169	63.0	62.0	1.0	98.41	1.349	72.976
Dig1	False	161	88	73	54.66	0.749	51.0	17.0	34.0	33.33	0.457	72.976
Dst1	False	485	380	105	78.35	1.074	54.0	50.0	4.0	92.59	1.269	72.976
Eaf3	False	15	12	3	80.0	1.096	6.0	3.0	3.0	50.0	0.685	72.976
Eaf5	False	189	68	121	35.98	0.493	70.0	7.0	63.0	10.0	0.137	72.976
Eaf6	False	69	12	57	17.39	0.238	35.0	3.0	32.0	8.57	0.117	72.976
Ecm22	True	164	91	73	55.49	0.76	40.0	17.0	23.0	42.5	0.582	72.976
