TF	zip_n	zip_genic	cx_n	cx_genic	mot_n	mot_genic
Abf1	1365	21.978021978021978	724	23.34254143646409	502	17.52988047808765
Cin5	443	27.99097065462754	557	28.186714542190305	264	30.303030303030305
Fhl1	611	47.299509001636665	556	53.23741007194245	84	17.857142857142858
Fkh1	732	23.633879781420767	625	23.04	297	11.784511784511785
Mcm1	493	32.25152129817444	412	37.37864077669903	179	13.966480446927374
Nhp6a	456	28.947368421052634	467	27.62312633832976	138	18.84057971014493
Rap1	1134	26.014109347442684	388	10.051546391752577	356	10.112359550561797
Reb1	1203	21.529509559434747	1078	21.150278293135436	583	9.262435677530018
Sko1	300	39.33333333333333	300	39.0	182	45.05494505494506
Spt15/TBP	2239	8.664582402858418	1872	8.814102564102564	259	10.038610038610038
Tbf1	279	14.336917562724013	274	20.437956204379564	155	5.161290322580645
Ume6	352	20.738636363636363	322	22.36024844720497	236	17.796610169491526
