col	region	murphy_A	murphy_C	murphy_G	murphy_T	jaspar_A	jaspar_C	jaspar_G	jaspar_T	ed	kld
0	core	0.587400	0.009100	0.398500	0.005000	0.562061	0.035129	0.395785	0.007026	0.033167	0.008279
1	core	0.003500	0.004300	0.037100	0.955100	0.009368	0.002342	0.007026	0.981265	0.036672	0.011291
2	core	0.027900	0.964200	0.003600	0.004300	0.009368	0.983607	0.004684	0.002342	0.024479	0.003430
3	core	0.886600	0.029300	0.072900	0.011200	0.880562	0.014052	0.096019	0.009368	0.025822	0.005035
4	core	0.009100	0.647700	0.010500	0.332700	0.007026	0.695550	0.002342	0.295082	0.055860	0.004623
5	spacer	0.333700	0.201800	0.331600	0.132900	0.079625	0.126464	0.112412	0.681499	0.588621	0.616403
6	spacer	0.039400	0.420000	0.021300	0.519300	0.374707	0.149883	0.112412	0.362998	0.424581	0.456881
7	spacer	0.068100	0.421600	0.430800	0.079500	0.208431	0.168618	0.088993	0.533958	0.580009	0.713283
8	spacer	0.062400	0.431100	0.442000	0.064500	0.430913	0.152225	0.213115	0.203747	0.485621	0.518607
9	spacer	0.179600	0.641400	0.046300	0.132700	0.182670	0.222482	0.154567	0.440281	0.482615	0.387535
10	core	0.986400	0.002300	0.004900	0.006400	0.981265	0.007026	0.000000	0.011710	0.009133	0.001272
11	core	0.006300	0.985700	0.003900	0.004100	0.011710	0.978923	0.000000	0.009368	0.009882	0.001020
12	core	0.011000	0.001300	0.979500	0.008200	0.000000	0.002342	0.985948	0.011710	0.012060	0.001699
13	core	0.844400	0.008100	0.106800	0.040700	0.646370	0.023419	0.168618	0.161593	0.218725	0.091783
