chr	start	end
chrXIV	1	5000
chrXIV	4001	9000
chrXIV	8001	13000
chrXIV	12001	17000
chrXIV	16001	21000
chrXIV	20001	25000
chrXIV	24001	29000
chrXIV	28001	33000
chrXIV	32001	37000
chrXIV	36001	41000
chrXIV	40001	45000
chrXIV	44001	49000
chrXIV	48001	53000
chrXIV	52001	57000
chrXIV	56001	61000
chrXIV	60001	65000
chrXIV	64001	69000
chrXIV	68001	73000
chrXIV	72001	77000
chrXIV	76001	81000
chrXIV	80001	85000
chrXIV	84001	89000
chrXIV	88001	93000
chrXIV	92001	97000
chrXIV	96001	101000
chrXIV	100001	105000
chrXIV	104001	109000
chrXIV	108001	113000
chrXIV	112001	117000
chrXIV	116001	121000
chrXIV	120001	125000
chrXIV	124001	129000
chrXIV	128001	133000
chrXIV	132001	137000
chrXIV	136001	141000
chrXIV	140001	145000
chrXIV	144001	149000
chrXIV	148001	153000
chrXIV	152001	157000
chrXIV	156001	161000
chrXIV	160001	165000
chrXIV	164001	169000
chrXIV	168001	173000
chrXIV	172001	177000
chrXIV	176001	181000
chrXIV	180001	185000
chrXIV	184001	189000
chrXIV	188001	193000
chrXIV	192001	197000
chrXIV	196001	201000
chrXIV	200001	205000
chrXIV	204001	209000
chrXIV	208001	213000
chrXIV	212001	217000
chrXIV	216001	221000
chrXIV	220001	225000
chrXIV	224001	229000
chrXIV	228001	233000
chrXIV	232001	237000
chrXIV	236001	241000
chrXIV	240001	245000
chrXIV	244001	249000
chrXIV	248001	253000
chrXIV	252001	257000
chrXIV	256001	261000
chrXIV	260001	265000
chrXIV	264001	269000
chrXIV	268001	273000
chrXIV	272001	277000
chrXIV	276001	281000
chrXIV	280001	285000
chrXIV	284001	289000
chrXIV	288001	293000
chrXIV	292001	297000
chrXIV	296001	301000
chrXIV	300001	305000
chrXIV	304001	309000
chrXIV	308001	313000
chrXIV	312001	317000
chrXIV	316001	321000
chrXIV	320001	325000
chrXIV	324001	329000
chrXIV	328001	333000
chrXIV	332001	337000
chrXIV	336001	341000
chrXIV	340001	345000
chrXIV	344001	349000
chrXIV	348001	353000
chrXIV	352001	357000
chrXIV	356001	361000
chrXIV	360001	365000
chrXIV	364001	369000
chrXIV	368001	373000
chrXIV	372001	377000
chrXIV	376001	381000
chrXIV	380001	385000
chrXIV	384001	389000
chrXIV	388001	393000
chrXIV	392001	397000
chrXIV	396001	401000
chrXIV	400001	405000
chrXIV	404001	409000
chrXIV	408001	413000
chrXIV	412001	417000
chrXIV	416001	421000
chrXIV	420001	425000
chrXIV	424001	429000
chrXIV	428001	433000
chrXIV	432001	437000
chrXIV	436001	441000
chrXIV	440001	445000
chrXIV	444001	449000
chrXIV	448001	453000
chrXIV	452001	457000
chrXIV	456001	461000
chrXIV	460001	465000
chrXIV	464001	469000
chrXIV	468001	473000
chrXIV	472001	477000
chrXIV	476001	481000
chrXIV	480001	485000
chrXIV	484001	489000
chrXIV	488001	493000
chrXIV	492001	497000
chrXIV	496001	501000
chrXIV	500001	505000
chrXIV	504001	509000
chrXIV	508001	513000
chrXIV	512001	517000
chrXIV	516001	521000
chrXIV	520001	525000
chrXIV	524001	529000
chrXIV	528001	533000
chrXIV	532001	537000
chrXIV	536001	541000
chrXIV	540001	545000
chrXIV	544001	549000
chrXIV	548001	553000
chrXIV	552001	557000
chrXIV	556001	561000
chrXIV	560001	565000
chrXIV	564001	569000
chrXIV	568001	573000
chrXIV	572001	577000
chrXIV	576001	581000
chrXIV	580001	585000
chrXIV	584001	589000
chrXIV	588001	593000
chrXIV	592001	597000
chrXIV	596001	601000
chrXIV	600001	605000
chrXIV	604001	609000
chrXIV	608001	613000
chrXIV	612001	617000
chrXIV	616001	621000
chrXIV	620001	625000
chrXIV	624001	629000
chrXIV	628001	633000
chrXIV	632001	637000
chrXIV	636001	641000
chrXIV	640001	645000
chrXIV	644001	649000
chrXIV	648001	653000
chrXIV	652001	657000
chrXIV	656001	661000
chrXIV	660001	665000
chrXIV	664001	669000
chrXIV	668001	673000
chrXIV	672001	677000
chrXIV	676001	681000
chrXIV	680001	685000
chrXIV	684001	689000
chrXIV	688001	693000
chrXIV	692001	697000
chrXIV	696001	701000
chrXIV	700001	705000
chrXIV	704001	709000
chrXIV	708001	713000
chrXIV	712001	717000
chrXIV	716001	721000
chrXIV	720001	725000
chrXIV	724001	729000
chrXIV	728001	733000
chrXIV	732001	737000
chrXIV	736001	741000
chrXIV	740001	745000
chrXIV	744001	749000
chrXIV	748001	753000
chrXIV	752001	757000
chrXIV	756001	761000
chrXIV	760001	765000
chrXIV	764001	769000
chrXIV	768001	773000
chrXIV	772001	777000
chrXIV	776001	781000
chrXIV	780001	784333
