chr	start	end	TF	genic
chrX	454120	454121	Aap1	True
chrII	478444	478445	Aap1	True
chrII	478002	478003	Aap1	True
chrXVI	700920	700921	Aap1	True
chrXIII	908385	908386	Aap1	True
chrXVI	701339	701340	Aap1	True
chrXVI	701678	701679	Aap1	True
chrIV	532511	532512	Aap1	True
chrIV	530450	530451	Aap1	True
chrIV	472112	472113	Aap1	True
chrXII	485596	485597	Aap1	True
chrIV	534474	534475	Aap1	True
chrXII	472386	472387	Aap1	True
chrIV	533062	533063	Aap1	True
chrIV	536384	536385	Aap1	True
chrXII	424302	424303	Aap1	True
chrIX	254325	254326	Abf1	False
chrXIV	57826	57827	Abf1	False
chrXIII	861241	861242	Abf1	False
chrXI	592691	592692	Abf1	False
chrIV	1030381	1030382	Abf1	False
chrXIV	34578	34579	Abf1	False
chrVIII	437138	437139	Abf1	False
chrXIV	559498	559499	Abf1	False
chrXII	253240	253241	Abf1	False
chrXI	385411	385412	Abf1	False
chrX	94851	94852	Abf1	False
chrXVI	95325	95326	Abf1	False
chrII	216547	216548	Abf1	False
chrIV	392635	392636	Abf1	False
chrXII	73298	73299	Abf1	False
chrVII	1026778	1026779	Abf1	True
chrV	225581	225582	Abf1	False
chrXII	672954	672955	Abf1	False
chrII	452410	452411	Abf1	False
chrXI	549447	549448	Abf1	True
chrX	136373	136374	Abf1	True
chrIV	403555	403556	Abf1	False
chrXII	82180	82181	Abf1	True
chrII	146016	146017	Abf1	False
chrIX	113541	113542	Abf1	False
chrVIII	255947	255948	Abf1	False
chrXIV	187884	187885	Abf1	False
chrXII	704664	704665	Abf1	True
chrIII	258758	258759	Abf1	False
chrX	54257	54258	Abf1	True
chrIX	375263	375264	Abf1	False
chrXIV	400693	400694	Abf1	False
chrVII	81346	81347	Abf1	False
chrXVI	482093	482094	Abf1	False
chrXII	921572	921573	Abf1	True
chrXI	75681	75682	Abf1	False
chrV	123484	123485	Abf1	False
chrXV	413711	413712	Abf1	False
chrIV	330857	330858	Abf1	True
chrXII	332282	332283	Abf1	False
chrXII	194278	194279	Abf1	False
chrIV	431633	431634	Abf1	False
chrVII	905547	905548	Abf1	True
chrXIV	405794	405795	Abf1	False
chrIV	1150644	1150645	Abf1	False
chrVI	54475	54476	Abf1	True
chrV	387030	387031	Abf1	False
chrIV	73456	73457	Abf1	True
chrXV	99584	99585	Abf1	False
chrV	82908	82909	Abf1	False
chrXII	198254	198255	Abf1	False
chrI	62664	62665	Abf1	False
chrIV	1242802	1242803	Abf1	False
chrVI	40313	40314	Abf1	False
chrXIV	779006	779007	Abf1	False
chrVI	225317	225318	Abf1	True
chrIII	103496	103497	Abf1	False
chrIV	417064	417065	Abf1	False
chrVIII	48131	48132	Abf1	False
chrV	167721	167722	Abf1	False
chrXV	186891	186892	Abf1	False
chrXI	417046	417047	Abf1	False
chrII	444885	444886	Abf1	False
chrXIII	392627	392628	Abf1	False
chrIV	867902	867903	Abf1	False
chrIV	199839	199840	Abf1	False
chrXIV	412620	412621	Abf1	False
chrXIII	69863	69864	Abf1	True
chrX	316603	316604	Abf1	False
chrXIII	104336	104337	Abf1	False
chrXI	435100	435101	Abf1	False
chrVIII	498575	498576	Abf1	True
chrXV	432019	432020	Abf1	False
chrXV	201935	201936	Abf1	False
chrXV	371011	371012	Abf1	False
chrII	141106	141107	Abf1	False
chrVII	999298	999299	Abf1	False
chrXIV	91670	91671	Abf1	False
chrX	608118	608119	Abf1	False
