chr	start	end	peakVal	strand	motif	sample_id	replicate	TF	genic
chrIX	254325	254326	1000	+	1	15254	rep1	abf1	False
chrIX	375263	375264	1000	+	1	15254	rep1	abf1	False
chrIX	292354	292355	1000	+	1	15254	rep1	abf1	False
chrIX	113433	113434	1000	+	1	15254	rep1	abf1	False
chrIX	285357	285358	1000	-	1	15254	rep1	abf1	False
chrIX	96737	96738	1000	-	1	15254	rep1	abf1	False
chrIX	261038	261039	1000	-	1	15254	rep1	abf1	False
chrIX	348977	348978	1000	-	1	15254	rep1	abf1	False
chrIX	399664	399665	1000	+	1	15254	rep1	abf1	False
chrIX	226407	226408	894	+	1	15254	rep1	abf1	False
chrIX	96545	96546	606	+	1	15254	rep1	abf1	True
chrIX	77868	77869	348	+	1	15254	rep1	abf1	False
chrXIV	57826	57827	1000	-	1	15254	rep1	abf1	False
chrXIV	34578	34579	1000	-	1	15254	rep1	abf1	False
chrXIV	559498	559499	1000	-	1	15254	rep1	abf1	False
chrXIV	187884	187885	1000	+	1	15254	rep1	abf1	False
chrXIV	400693	400694	1000	+	1	15254	rep1	abf1	False
chrXIV	405794	405795	1000	-	1	15254	rep1	abf1	False
chrXIV	779006	779007	1000	-	1	15254	rep1	abf1	False
chrXIV	412620	412621	1000	+	1	15254	rep1	abf1	False
chrXIV	91670	91671	1000	-	1	15254	rep1	abf1	False
chrXIV	283736	283737	1000	+	1	15254	rep1	abf1	False
chrXIV	350114	350115	1000	-	1	15254	rep1	abf1	True
chrXIV	174770	174771	1000	-	1	15254	rep1	abf1	False
chrXIV	507479	507480	1000	-	1	15254	rep1	abf1	False
chrXIV	58026	58027	1000	+	1	15254	rep1	abf1	False
chrXIV	695457	695458	1000	+	1	15254	rep1	abf1	False
chrXIV	160517	160518	1000	-	1	15254	rep1	abf1	False
chrXIV	707650	707651	1000	-	1	15254	rep1	abf1	False
chrXIV	408184	408185	1000	-	1	15254	rep1	abf1	False
chrXIV	622779	622780	1000	+	1	15254	rep1	abf1	False
chrXIV	515067	515068	1000	-	1	15254	rep1	abf1	False
chrXIV	466730	466731	1000	+	1	15254	rep1	abf1	False
chrXIV	167963	167964	1000	+	1	15254	rep1	abf1	False
chrXIV	694174	694175	1000	-	1	15254	rep1	abf1	False
chrXIV	140638	140639	1000	-	1	15254	rep1	abf1	False
chrXIV	624520	624521	1000	+	1	15254	rep1	abf1	True
chrXIV	48157	48158	1000	-	1	15254	rep1	abf1	False
chrXIV	247281	247282	1000	-	1	15254	rep1	abf1	False
chrXIV	723314	723315	1000	+	1	15254	rep1	abf1	False
chrXIV	668222	668223	728	+	1	15254	rep1	abf1	False
chrXIV	545085	545086	1000	-	1	15254	rep1	abf1	False
chrXIV	366606	366607	814	+	1	15254	rep1	abf1	False
chrXIV	417712	417713	722	-	1	15254	rep1	abf1	False
chrXIII	392627	392628	1000	+	1	15254	rep1	abf1	False
chrXIII	69863	69864	1000	-	1	15254	rep1	abf1	True
chrXIII	104336	104337	1000	+	1	15254	rep1	abf1	False
chrXIII	244012	244013	1000	+	1	15254	rep1	abf1	True
chrXIII	397814	397815	1000	-	1	15254	rep1	abf1	False
chrXIII	337639	337640	1000	-	1	15254	rep1	abf1	False
chrXIII	527657	527658	1000	-	1	15254	rep1	abf1	False
chrXIII	659362	659363	1000	+	1	15254	rep1	abf1	False
chrXIII	790003	790004	1000	+	1	15254	rep1	abf1	False
chrXIII	701335	701336	1000	+	1	15254	rep1	abf1	False
chrXIII	241909	241910	1000	-	1	15254	rep1	abf1	False
chrXIII	675375	675376	1000	+	1	15254	rep1	abf1	False
chrXIII	453862	453863	1000	+	1	15254	rep1	abf1	False
chrXIII	742861	742862	1000	+	1	15254	rep1	abf1	False
chrXIII	831587	831588	1000	-	1	15254	rep1	abf1	False
chrXIII	434440	434441	1000	-	1	15254	rep1	abf1	False
chrXIII	424827	424828	908	+	1	15254	rep1	abf1	False
chrXIII	861334	861335	1000	+	1	15254	rep1	abf1	False
chrXIII	408397	408398	1000	+	1	15254	rep1	abf1	True
chrXIII	245921	245922	1000	-	1	15254	rep1	abf1	False
chrXIII	517359	517360	725	-	1	15254	rep1	abf1	False
chrXI	592691	592692	1000	-	1	15254	rep1	abf1	False
chrXI	385411	385412	1000	+	1	15254	rep1	abf1	False
chrXI	549447	549448	1000	-	1	15254	rep1	abf1	True
chrXI	75681	75682	1000	-	1	15254	rep1	abf1	False
chrXI	417046	417047	1000	+	1	15254	rep1	abf1	False
chrXI	435100	435101	1000	+	1	15254	rep1	abf1	False
chrXI	500133	500134	1000	-	1	15254	rep1	abf1	False
chrXI	499947	499948	1000	+	1	15254	rep1	abf1	False
chrXI	82777	82778	1000	+	1	15254	rep1	abf1	False
chrXI	125619	125620	1000	+	1	15254	rep1	abf1	False
chrXI	385255	385256	1000	+	1	15254	rep1	abf1	False
chrXI	99902	99903	1000	-	1	15254	rep1	abf1	False
chrXI	429150	429151	1000	-	1	15254	rep1	abf1	False
chrXI	327970	327971	1000	-	1	15254	rep1	abf1	False
chrXI	571308	571309	1000	-	1	15254	rep1	abf1	False
chrXI	525190	525191	1000	-	1	15254	rep1	abf1	False
chrXI	21500	21501	1000	+	1	15254	rep1	abf1	False
chrXI	578396	578397	1000	-	1	15254	rep1	abf1	True
chrXI	93455	93456	1000	-	1	15254	rep1	abf1	False
chrXI	385624	385625	1000	+	1	15254	rep1	abf1	False
chrXI	469520	469521	1000	-	1	15254	rep1	abf1	False
chrXI	361981	361982	1000	-	1	15254	rep1	abf1	False
chrXI	402248	402249	1000	-	1	15254	rep1	abf1	False
chrXI	263203	263204	1000	-	1	15254	rep1	abf1	False
chrXI	176633	176634	1000	+	1	15254	rep1	abf1	False
chrXI	554793	554794	1000	+	1	15254	rep1	abf1	False
chrXI	359919	359920	1000	-	1	15254	rep1	abf1	False
chrXI	513291	513292	1000	+	1	15254	rep1	abf1	False
chrXI	551521	551522	1000	+	1	15254	rep1	abf1	False
chrXI	38328	38329	789	+	1	15254	rep1	abf1	False
chrXI	80703	80704	732	+	1	15254	rep1	abf1	False
chrXI	408334	408335	795	-	1	15254	rep1	abf1	False
chrXI	69070	69071	620	+	1	15254	rep1	abf1	True
chrXI	288721	288722	637	+	1	15254	rep1	abf1	False
chrXI	382391	382392	344	-	1	15254	rep1	abf1	True
chrIV	1030381	1030382	1000	+	1	15254	rep1	abf1	False
chrIV	392635	392636	1000	+	1	15254	rep1	abf1	False
chrIV	403555	403556	1000	-	1	15254	rep1	abf1	False
chrIV	330857	330858	1000	+	1	15254	rep1	abf1	True
chrIV	431633	431634	1000	-	1	15254	rep1	abf1	False
chrIV	1150644	1150645	1000	+	1	15254	rep1	abf1	False
chrIV	73456	73457	1000	-	1	15254	rep1	abf1	True
chrIV	1242802	1242803	1000	+	1	15254	rep1	abf1	False
chrIV	417064	417065	1000	-	1	15254	rep1	abf1	False
chrIV	867902	867903	1000	-	1	15254	rep1	abf1	False
chrIV	199839	199840	1000	-	1	15254	rep1	abf1	False
chrIV	1317985	1317986	1000	+	1	15254	rep1	abf1	False
chrIV	1125228	1125229	1000	-	1	15254	rep1	abf1	False
chrIV	62241	62242	1000	-	1	15254	rep1	abf1	True
chrIV	1055031	1055032	1000	-	1	15254	rep1	abf1	False
chrIV	1196430	1196431	1000	+	1	15254	rep1	abf1	False
chrIV	172329	172330	1000	+	1	15254	rep1	abf1	False
chrIV	190728	190729	1000	-	1	15254	rep1	abf1	False
chrIV	242169	242170	1000	+	1	15254	rep1	abf1	False
chrIV	1087424	1087425	1000	-	1	15254	rep1	abf1	False
chrIV	1277457	1277458	1000	-	1	15254	rep1	abf1	False
chrIV	1020505	1020506	1000	-	1	15254	rep1	abf1	False
chrIV	1328633	1328634	1000	-	1	15254	rep1	abf1	True
chrIV	251403	251404	1000	+	1	15254	rep1	abf1	False
