chr	start	TF	genic
chrIX	254325	abf1	False
chrIX	375263	abf1	False
chrIX	292354	abf1	False
chrIX	113433	abf1	False
chrIX	285357	abf1	False
chrIX	96737	abf1	False
chrIX	261038	abf1	False
chrIX	348977	abf1	False
chrIX	399664	abf1	False
chrIX	226407	abf1	False
chrIX	96545	abf1	True
chrIX	77868	abf1	False
chrXIV	57826	abf1	False
chrXIV	34578	abf1	False
chrXIV	559498	abf1	False
chrXIV	187884	abf1	False
chrXIV	400693	abf1	False
chrXIV	405794	abf1	False
chrXIV	779006	abf1	False
chrXIV	412620	abf1	False
chrXIV	91670	abf1	False
chrXIV	283736	abf1	False
chrXIV	350114	abf1	True
chrXIV	174770	abf1	False
chrXIV	507479	abf1	False
chrXIV	58026	abf1	False
chrXIV	695457	abf1	False
chrXIV	160517	abf1	False
chrXIV	707650	abf1	False
chrXIV	408184	abf1	False
chrXIV	622779	abf1	False
chrXIV	515067	abf1	False
chrXIV	466730	abf1	False
chrXIV	167963	abf1	False
chrXIV	694174	abf1	False
chrXIV	140638	abf1	False
chrXIV	624520	abf1	True
chrXIV	48157	abf1	False
chrXIV	247281	abf1	False
chrXIV	723314	abf1	False
chrXIV	668222	abf1	False
chrXIV	545085	abf1	False
chrXIV	366606	abf1	False
chrXIV	417712	abf1	False
chrXIII	392627	abf1	False
chrXIII	69863	abf1	True
chrXIII	104336	abf1	False
chrXIII	244012	abf1	True
chrXIII	397814	abf1	False
chrXIII	337639	abf1	False
chrXIII	527657	abf1	False
chrXIII	659362	abf1	False
chrXIII	790003	abf1	False
chrXIII	701335	abf1	False
chrXIII	241909	abf1	False
chrXIII	675375	abf1	False
chrXIII	453862	abf1	False
chrXIII	742861	abf1	False
chrXIII	831587	abf1	False
chrXIII	434440	abf1	False
chrXIII	424827	abf1	False
chrXIII	861334	abf1	False
chrXIII	408397	abf1	True
chrXIII	245921	abf1	False
chrXIII	517359	abf1	False
chrXI	592691	abf1	False
chrXI	385411	abf1	False
chrXI	549447	abf1	True
chrXI	75681	abf1	False
chrXI	417046	abf1	False
chrXI	435100	abf1	False
chrXI	500133	abf1	False
chrXI	499947	abf1	False
chrXI	82777	abf1	False
chrXI	125619	abf1	False
chrXI	385255	abf1	False
chrXI	99902	abf1	False
chrXI	429150	abf1	False
chrXI	327970	abf1	False
chrXI	571308	abf1	False
chrXI	525190	abf1	False
chrXI	21500	abf1	False
chrXI	578396	abf1	True
chrXI	93455	abf1	False
chrXI	385624	abf1	False
chrXI	469520	abf1	False
chrXI	361981	abf1	False
chrXI	402248	abf1	False
chrXI	263203	abf1	False
chrXI	176633	abf1	False
chrXI	554793	abf1	False
chrXI	359919	abf1	False
chrXI	513291	abf1	False
chrXI	551521	abf1	False
chrXI	38328	abf1	False
chrXI	80703	abf1	False
chrXI	408334	abf1	False
chrXI	69070	abf1	True
chrXI	288721	abf1	False
chrXI	382391	abf1	True
chrIV	1030381	abf1	False
chrIV	392635	abf1	False
chrIV	403555	abf1	False
chrIV	330857	abf1	True
chrIV	431633	abf1	False
chrIV	1150644	abf1	False
chrIV	73456	abf1	True
chrIV	1242802	abf1	False
chrIV	417064	abf1	False
chrIV	867902	abf1	False
chrIV	199839	abf1	False
chrIV	1317985	abf1	False
chrIV	1125228	abf1	False
chrIV	62241	abf1	True
chrIV	1055031	abf1	False
chrIV	1196430	abf1	False
chrIV	172329	abf1	False
chrIV	190728	abf1	False
chrIV	242169	abf1	False
chrIV	1087424	abf1	False
chrIV	1277457	abf1	False
chrIV	1020505	abf1	False
chrIV	1328633	abf1	True
chrIV	251403	abf1	False
chrIV	1031820	abf1	False
chrIV	1386656	abf1	False
chrIV	636207	abf1	True
chrIV	1367327	abf1	False
chrIV	121868	abf1	False
chrIV	848059	abf1	False
chrIV	1385909	abf1	False
chrIV	272057	abf1	False
chrIV	87361	abf1	False
chrIV	452838	abf1	False
chrIV	1276524	abf1	False
chrIV	228989	abf1	False
chrIV	716756	abf1	False
chrIV	198549	abf1	False
chrIV	501660	abf1	False
chrIV	542197	abf1	False
chrIV	1127707	abf1	False
chrIV	1277472	abf1	False
chrIV	1224638	abf1	False
chrIV	1002374	abf1	False
chrIV	1293261	abf1	False
chrIV	952577	abf1	False
chrIV	114478	abf1	False
chrIV	1388638	abf1	False
chrIV	304962	abf1	False
chrIV	369355	abf1	False
chrIV	930766	abf1	False
chrIV	1195306	abf1	False
chrIV	512376	abf1	False
chrIV	1429954	abf1	True
chrVIII	437138	abf1	False
chrVIII	255947	abf1	False
chrVIII	498575	abf1	True
chrVIII	164871	abf1	False
chrVIII	209409	abf1	False
chrVIII	98313	abf1	False
chrVIII	227289	abf1	False
chrVIII	422555	abf1	False
chrVIII	284743	abf1	False
chrVIII	50863	abf1	False
chrVIII	341630	abf1	False
chrVIII	267376	abf1	False
chrVIII	236379	abf1	True
chrVIII	190287	abf1	False
chrVIII	48163	abf1	False
chrVIII	116070	abf1	False
chrXII	253240	abf1	False
chrXII	73298	abf1	False
chrXII	672954	abf1	False
chrXII	82180	abf1	True
chrXII	704664	abf1	True
chrXII	921572	abf1	True
chrXII	332282	abf1	False
chrXII	194278	abf1	False
chrXII	198254	abf1	False
chrXII	912452	abf1	False
chrXII	855710	abf1	True
chrXII	504180	abf1	True
chrXII	127397	abf1	False
chrXII	605124	abf1	False
chrXII	47657	abf1	False
chrXII	514949	abf1	False
chrXII	924816	abf1	False
chrXII	721647	abf1	False
chrXII	125142	abf1	False
chrXII	384650	abf1	False
chrXII	581893	abf1	False
chrXII	921597	abf1	False
chrXII	1043740	abf1	False
chrXII	720497	abf1	False
chrXII	665227	abf1	False
chrXII	862399	abf1	False
chrXII	539787	abf1	False
chrXII	469858	abf1	True
chrXII	826728	abf1	False
chrXII	523473	abf1	False
chrXII	658352	abf1	False
chrXII	486742	abf1	True
chrXII	483090	abf1	True
chrXII	193569	abf1	False
chrXII	473510	abf1	True
chrXII	424295	abf1	True
chrXII	187528	abf1	False
chrXII	787500	abf1	False
chrX	94851	abf1	False
chrX	136373	abf1	True
chrX	54257	abf1	True
chrX	316603	abf1	False
chrX	608118	abf1	False
chrX	449078	abf1	False
chrX	684396	abf1	False
chrX	407415	abf1	True
chrX	663269	abf1	True
chrX	683832	abf1	False
chrX	415893	abf1	False
chrX	640516	abf1	False
chrX	703731	abf1	False
chrX	604369	abf1	False
chrX	623436	abf1	False
chrX	83895	abf1	False
chrX	555062	abf1	False
chrX	207703	abf1	False
chrX	521899	abf1	False
chrX	421804	abf1	False
chrX	335727	abf1	False
chrX	120121	abf1	False
chrX	293189	abf1	True
chrX	555759	abf1	False
chrX	647128	abf1	True
chrX	525891	abf1	False
chrXVI	95325	abf1	False
chrXVI	482093	abf1	False
chrXVI	792558	abf1	False
chrXVI	795592	abf1	True
chrXVI	678845	abf1	False
chrXVI	641563	abf1	False
chrXVI	822168	abf1	False
chrXVI	901678	abf1	False
chrXVI	736827	abf1	False
chrXVI	594029	abf1	False
chrXVI	911121	abf1	False
chrXVI	113996	abf1	True
chrXVI	892210	abf1	False
chrXVI	656688	abf1	False
chrXVI	554466	abf1	False
chrXVI	251915	abf1	False
chrXVI	75298	abf1	False
chrXVI	277702	abf1	False
chrXVI	529482	abf1	False
chrXVI	666163	abf1	True
chrXVI	118131	abf1	False
chrXVI	643664	abf1	False
chrXVI	874996	abf1	False
chrXVI	246765	abf1	False
chrXVI	297284	abf1	False
chrII	216547	abf1	False
chrII	452410	abf1	False
chrII	146016	abf1	False
chrII	444885	abf1	False
chrII	141106	abf1	False
chrII	535088	abf1	False
chrII	75075	abf1	False
chrII	392541	abf1	False
chrII	770764	abf1	False
chrII	770740	abf1	False
chrII	159967	abf1	False
chrII	299989	abf1	False
chrII	258154	abf1	False
chrII	47270	abf1	False
chrII	647330	abf1	False
chrII	615465	abf1	True
chrII	297944	abf1	False
chrII	786979	abf1	False
chrII	401017	abf1	False
chrII	101372	abf1	False
chrII	618688	abf1	False
chrII	662735	abf1	True
chrVII	1026778	abf1	True
chrVII	81346	abf1	False
chrVII	905547	abf1	True
chrVII	999298	abf1	False
chrVII	548345	abf1	True
chrVII	727555	abf1	True
chrVII	859691	abf1	False
chrVII	1027143	abf1	False
chrVII	601495	abf1	False
chrVII	272086	abf1	True
chrVII	23457	abf1	False
chrVII	699929	abf1	False
chrVII	996723	abf1	False
chrVII	607254	abf1	False
chrVII	974656	abf1	True
chrVII	750259	abf1	False
chrVII	428336	abf1	False
chrVII	867650	abf1	False
chrVII	596358	abf1	False
chrVII	131400	abf1	False
chrVII	848279	abf1	True
chrVII	625363	abf1	True
chrVII	280689	abf1	False
chrVII	306429	abf1	False
chrVII	465604	abf1	False
chrVII	1058960	abf1	False
chrVII	729868	abf1	False
chrVII	953665	abf1	False
chrVII	141882	abf1	False
chrVII	780042	abf1	False
chrVII	76599	abf1	False
chrVII	67444	abf1	False
chrVII	547531	abf1	False
chrVII	271458	abf1	True
chrVII	56280	abf1	False
chrVII	190231	abf1	True
chrVII	148092	abf1	False
chrVII	475376	abf1	False
chrV	123484	abf1	False
chrV	387030	abf1	False
chrV	82908	abf1	False
chrV	167721	abf1	False
chrV	409553	abf1	False
chrV	422083	abf1	True
chrV	404528	abf1	False
chrV	382363	abf1	False
chrV	225475	abf1	False
chrV	509988	abf1	False
chrV	435655	abf1	False
chrV	192093	abf1	True
chrV	100543	abf1	False
chrV	281101	abf1	False
chrIII	258758	abf1	False
chrIII	103496	abf1	False
chrIII	164330	abf1	True
chrIII	24644	abf1	False
chrIII	216497	abf1	False
chrIII	65724	abf1	False
chrIII	61526	abf1	False
chrIII	279959	abf1	False
chrIII	47055	abf1	False
chrIII	294810	abf1	False
chrIII	240674	abf1	False
chrXV	413711	abf1	False
chrXV	99584	abf1	False
chrXV	186891	abf1	False
chrXV	432019	abf1	False
chrXV	201935	abf1	False
chrXV	371011	abf1	False
chrXV	256225	abf1	False
chrXV	722747	abf1	True
chrXV	780751	abf1	False
chrXV	380828	abf1	False
chrXV	233914	abf1	False
chrXV	606329	abf1	False
chrXV	761423	abf1	True
chrXV	544498	abf1	False
chrXV	544516	abf1	False
chrXV	817142	abf1	False
chrXV	921406	abf1	False
chrXV	970117	abf1	False
chrXV	738157	abf1	False
chrXV	1009828	abf1	False
chrXV	1003354	abf1	False
chrXV	117567	abf1	False
chrXV	772336	abf1	False
chrXV	643292	abf1	True
chrXV	83342	abf1	False
