chr	start	end	name	v	strand	in_body	near_rna	d_tss	d_end	in_prom	in_end	subtel	cls_prom_first	cls_body_first	ambiguous	n_pass	n_seen	best_fold	best_logp	has_motif
chrIX	254325	254326	chr9_254325_254326	1000	.	False	False	-217.0	-535.0	True	False	False	promoter	promoter	False	3	3	5.797		True
chrXIV	57826	57827	chr14_57826_57827	1000	.	False	False	-253.0	-982.0	True	False	False	promoter	promoter	False	3	3	4.722		True
chrXIII	861241	861242	chr13_861241_861242	1000	.	False	False	-350.0	-2027.0	True	False	False	promoter	promoter	False	3	3	5.218		True
chrXI	592691	592692	chr11_592691_592692	1000	.	False	False	-133.0	-1186.0	True	False	False	promoter	promoter	False	2	2	4.548	-659.409	True
chrIV	1030381	1030382	chr4_1030381_1030382	1000	.	False	False	-332.0	168.0	True	True	False	promoter	promoter	True	2	2	4.853	-749.249	True
chrXIV	34578	34579	chr14_34578_34579	1000	.	False	False	-117.0	-1285.0	True	False	False	promoter	promoter	False	3	3	4.455	-1003.923	True
chrVIII	437138	437139	chr8_437138_437139	1000	.	False	False	-190.0	31.0	True	True	False	promoter	promoter	True	3	3	4.727	-684.712	True
chrXIV	559498	559499	chr14_559498_559499	1000	.	False	False	-315.0	-981.0	True	False	False	promoter	promoter	False	3	3	5.001	-1024.086	True
chrXII	253240	253241	chr12_253240_253241	1000	.	False	False	-160.0	-1718.0	True	False	False	promoter	promoter	False	2	2	4.548	-766.697	True
chrXI	385411	385412	chr11_385411_385412	1000	.	False	False	-346.0	-1795.0	True	False	False	promoter	promoter	False	3	3	4.869	-1022.502	True
chrX	94851	94852	chr10_94851_94852	1000	.	False	False	-240.0	290.0	True	True	False	promoter	promoter	True	2	2	4.337	-782.395	True
chrXVI	95325	95326	chr16_95325_95326	1000	.	False	False	-216.0	46.0	True	True	False	promoter	promoter	True	2	2	4.558	-567.251	True
chrII	216547	216548	chr2_216547_216548	1000	.	False	False	-163.0	39.0	True	True	False	promoter	promoter	True	2	2	4.291	-532.698	True
chrIV	392635	392636	chr4_392635_392636	1000	.	False	False	-578.0	23.0	False	True	False	gene end	gene end	False	3	3	4.033	-627.805	True
chrXII	73298	73299	chr12_73298_73299	1000	.	False	False	-110.0	-803.0	True	False	False	promoter	promoter	False	3	3	3.881	-673.208	True
chrVII	1026778	1026779	chr7_1026778_1026779	1000	.	True	False	-125.0	-184.0	True	False	False	promoter	gene body	True	3	3	4.239	-606.065	True
chrV	225581	225582	chr5_225581_225582	1000	.	False	False	-307.0	-1273.0	True	False	False	promoter	promoter	False	3	3	4.666		True
chrXII	672954	672955	chr12_672954_672955	1000	.	False	False	-176.0	131.0	True	True	False	promoter	promoter	True	2	2	4.427	-490.173	True
chrII	452410	452411	chr2_452410_452411	1000	.	False	False	-247.0	-814.0	True	False	False	promoter	promoter	False	2	2	5.527	-618.817	True
chrXI	549447	549448	chr11_549447_549448	1000	.	True	False	0.0	356.0	True	False	False	promoter	gene body	True	2	2	4.392	-590.376	True
chrX	136373	136374	chr10_136373_136374	1000	.	True	False	200.0	-2.0	False	True	False	gene end	gene body	True	3	3	3.757	-634.666	True
