gene	native_motif	source	fitted	w_native	jaspar_motif	rossi_sample	replicate	condition	heat_shock	rossi_motif	rossi_E	rossi_logE	rossi_nsites	power	e_rank	e_gap_log10	n_motifs_in_sample	e_ambiguous	ed_native_jaspar	kl_native_jaspar	ed_native_rossi	kl_native_rossi	ed_jaspar_rossi	kl_jaspar_rossi	w_jaspar	w_rossi	w_window	w_shortest	window_anchor	n_dropped	window_cost_kl	off_native	orient_native	off_jaspar	orient_jaspar	off_rossi	orient_rossi	odd_one_out	margin_kl	verdict	rep_n_reps	rep_consensus	rep_n_consensus	rep_n_native_odd	rep_n_rossi_odd	rep_n_heat_shock	rep_max_nsites	rep_unanimous
ABF1	Abf1_murphy	murphy	yes	14	ABF1_jaspar_MA0265.3	15254	rep1	normal	no	ABF1_rossi_15254_m1	0.0000	-500.0000	195	strong	1		1		0.2134	0.2015	0.2437	0.2209	0.0806	0.0185	14	15	14	14	native	0	0.0000	0	+	0	-	-1	-	native	0.1830	native_is_odd	3	native_is_odd	3	3	0	0	195	yes
ABF1	Abf1_murphy	murphy	yes	14	ABF1_jaspar_MA0265.3	19442	rep2	normal	no	ABF1_rossi_19442_m1	0.0000	-500.0000	188	strong	1		1		0.2134	0.2015	0.2421	0.2110	0.0772	0.0170	14	15	14	14	native	0	0.0000	0	+	0	-	-1	-	native	0.1845	native_is_odd	3	native_is_odd	3	3	0	0	195	yes
ABF1	Abf1_murphy	murphy	yes	14	ABF1_jaspar_MA0265.3	19997	rep3	normal	no	ABF1_rossi_19997_m1	0.0000	-294.3468	163	strong	1	283.4607	2	no	0.2130	0.2100	0.2038	0.1669	0.0792	0.0164	14	15	13	14	native	1	0.0084	0	+	0	-	-2	-	native	0.1505	native_is_odd	3	native_is_odd	3	3	0	0	195	yes
RAP1	Rap1_motif2	other		12	RAP1_jaspar_MA0359.3	11765	rep1	normal	no	RAP1_rossi_11765_m1	0.0000	-500.0000	200	strong	1	445.3010	3	no	0.1719	0.1534	0.1548	0.1544	0.0966	0.0292	12	16	11	12	native	1	0.0071	0	+	-1	-	-2	+	native	0.1242	native_is_odd	3	native_is_odd	3	3	0	0	200	yes
RAP1	Rap1_motif2	other		12	RAP1_jaspar_MA0359.3	15258	rep2	normal	no	RAP1_rossi_15258_m1	0.0000	-500.0000	200	strong	1	445.8921	2	no	0.1719	0.1534	0.1548	0.1482	0.0807	0.0232	12	17	11	12	native	1	0.0085	0	+	-1	-	-2	+	native	0.1251	native_is_odd	3	native_is_odd	3	3	0	0	200	yes
RAP1	Rap1_motif2	other		12	RAP1_jaspar_MA0359.3	19998	rep3	normal	no	RAP1_rossi_19998_m1	0.0000	-500.0000	196	strong	1	488.5563	3	no	0.1719	0.1534	0.1531	0.1374	0.1367	0.0501	12	15	11	12	native	1	0.0106	0	+	-1	-	-1	+	native	0.0873	native_is_odd	3	native_is_odd	3	3	0	0	200	yes
RAP1	Rap1_telomeric	other	yes	20	RAP1_jaspar_MA0359.3	11765	rep1	normal	no	RAP1_rossi_11765_m1	0.0000	-500.0000	200	strong	1	445.3010	3	no	0.2374	0.2862	0.3011	0.3606	0.1029	0.0316	12	16	12	12	jaspar	0	0.0000	-3	+	0	+	-3	-	native	0.2546	native_is_odd	3	native_is_odd	3	3	0	0	200	yes
RAP1	Rap1_telomeric	other	yes	20	RAP1_jaspar_MA0359.3	15258	rep2	normal	no	RAP1_rossi_15258_m1	0.0000	-500.0000	200	strong	1	445.8921	2	no	0.2374	0.2862	0.2847	0.3366	0.0897	0.0263	12	17	12	12	jaspar	0	0.0000	-3	+	0	+	-4	-	native	0.2599	native_is_odd	3	native_is_odd	3	3	0	0	200	yes
RAP1	Rap1_telomeric	other	yes	20	RAP1_jaspar_MA0359.3	19998	rep3	normal	no	RAP1_rossi_19998_m1	0.0000	-500.0000	196	strong	1	488.5563	3	no	0.2374	0.2862	0.3207	0.3566	0.1388	0.0495	12	15	12	12	jaspar	0	0.0193	-3	+	0	+	-3	-	native	0.2367	native_is_odd	3	native_is_odd	3	3	0	0	200	yes
RAP1	Rap1_zhu	zhu		10	RAP1_jaspar_MA0359.3	11765	rep1	normal	no	RAP1_rossi_11765_m1	0.0000	-500.0000	200	strong	1	445.3010	3	no	0.3443	0.3365	0.2935	0.2427	0.0997	0.0335	12	16	8	10	native	2	0.0019	0	+	2	+	-1	-	native	0.2091	native_is_odd	3	native_is_odd	3	3	0	0	200	yes
RAP1	Rap1_zhu	zhu		10	RAP1_jaspar_MA0359.3	15258	rep2	normal	no	RAP1_rossi_15258_m1	0.0000	-500.0000	200	strong	1	445.8921	2	no	0.3443	0.3365	0.3031	0.2599	0.0858	0.0252	12	17	8	10	native	2	0.0000	0	+	2	+	-2	-	native	0.2347	native_is_odd	3	native_is_odd	3	3	0	0	200	yes
RAP1	Rap1_zhu	zhu		10	RAP1_jaspar_MA0359.3	19998	rep3	normal	no	RAP1_rossi_19998_m1	0.0000	-500.0000	196	strong	1	488.5563	3	no	0.3443	0.3365	0.2782	0.1948	0.1377	0.0545	12	15	8	10	native	2	0.0050	0	+	2	+	-1	-	native	0.1402	native_is_odd	3	native_is_odd	3	3	0	0	200	yes
PDR1	Pdr1_badis	badis		7	PDR1_jaspar_MA0352.3	18497	rep2	normal	no	PDR1_rossi_18497_m1	0.0000	-57.3010	57	moderate	1	50.3010	3	no	0.1792	0.1070	0.1329	0.0804	0.0969	0.0407	10	11	7	7	native	0	0.0000	0	+	-2	+	-2	+	native	0.0396	native_is_odd	2	native_is_odd	2	2	0	0	57	yes
