chrom	run	reference	factor	n_ref	n_pred	tp	fp	fn	precision	recall	f1	enrichment	auroc	median_dist	call_threshold	global_max	tol_bp	mean_post_at_sites	mean_post_background
chrXIV	fib	rossi	Abf1_murphy	32	1429	14	1415	18	0.00979706	0.4375	0.019165	7.1189	0.657413	5	0.299998	0.999994	20	0.153739	0.0215959
chrXIV	fib	rossi	Mcm1_zhu	9	54	0	54	9	0	0	0	2.41478	0.543113		0.299999	0.999998	20	0.00185105	0.00076655
chrXIV	fib	rossi	Rap1_telomeric	10	261	1	260	9	0.00383142	0.1	0.00738007	6.16699	0.628872	0	0.299997	0.999991	20	0.0335123	0.00543414
chrXIV	fib	rossi	Reb1_badis	31	821	20	801	11	0.0243605	0.645161	0.0469484	20.1026	0.750897	4	0.3	1	20	0.152182	0.00757025
chrXIV	fib	rossi	Spt15_zhu	12	46	0	46	12	0	0	0	3.41152	0.609985		0.241999	0.806663	20	0.00352363	0.00103286
chrXIV	fib	macisaac	Abf1_murphy	19	1429	7	1422	12	0.00489853	0.368421	0.00966851	6.18143	0.596171	4	0.299998	0.999994	20	0.134185	0.0217078
chrXIV	fib	macisaac	Reb1_badis	11	821	6	815	5	0.00730816	0.545455	0.0144231	19.3708	0.75633	0.5	0.3	1	20	0.149601	0.00772301
chrXIV	fib	rossi	_other (32 factors)	58	3709	18	3691	40	0.00485306	0.310345	0.00955668			9.5			20		
chrXIV	fibem10	rossi	Abf1_murphy	32	1640	9	1631	23	0.0054878	0.28125	0.0107656	4.47748	0.626212	2	0.3	0.999999	20	0.108609	0.0242566
chrXIV	fibem10	rossi	Mcm1_zhu	9	256	0	256	9	0	0	0	2.54668	0.649995		0.3	1	20	0.00964247	0.0037863
chrXIV	fibem10	rossi	Rap1_telomeric	10	2295	5	2290	5	0.00217865	0.5	0.00433839	3.953	0.649967	3	0.3	1	20	0.246821	0.062439
chrXIV	fibem10	rossi	Reb1_badis	31	1263	23	1240	8	0.0182106	0.741935	0.0355487	18.6752	0.831762	4	0.3	1	20	0.226087	0.0121062
chrXIV	fibem10	rossi	Spt15_zhu	12	94	0	94	12	0	0	0	2.47134	0.54802		0.257572	0.858574	20	0.00376335	0.0015228
chrXIV	fibem10	macisaac	Abf1_murphy	19	1640	5	1635	14	0.00304878	0.263158	0.00602773	4.23473	0.589216	4	0.3	0.999999	20	0.102995	0.0243214
chrXIV	fibem10	macisaac	Reb1_badis	11	1263	8	1255	3	0.00633413	0.727273	0.0125589	18.8799	0.815029	2	0.3	1	20	0.232718	0.0123263
chrXIV	fibem10	rossi	_other (32 factors)	58	3448	25	3423	33	0.00725058	0.431034	0.0142613			9			20		
chrXIV	seq	rossi	Abf1_murphy	32	327	21	306	11	0.0642202	0.65625	0.116992	51.1365	0.664688	0	0.299999	0.999998	20	0.210497	0.00411637
chrXIV	seq	rossi	Mcm1_zhu	9	62	1	61	8	0.016129	0.111111	0.028169	39.8128	0.562285	7	0.3	0.999999	20	0.0357461	0.000897854
chrXIV	seq	rossi	Rap1_telomeric	10	2	0	2	10	0	0	0	0	0.499825		0.299991	0.999969	20	0	5.68894e-05
chrXIV	seq	rossi	Reb1_badis	31	328	20	308	11	0.0609756	0.645161	0.111421	49.5213	0.613491	0	0.3	1	20	0.142943	0.0028865
chrXIV	seq	rossi	Spt15_zhu	12	33	0	33	12	0	0	0	12.008	0.572336		0.253206	0.84402	20	0.005409	0.000450449
chrXIV	seq	macisaac	Abf1_murphy	19	327	8	319	11	0.0244648	0.421053	0.0462428	33.2875	0.607195	1	0.299999	0.999998	20	0.144004	0.00432607
chrXIV	seq	macisaac	Reb1_badis	11	328	6	322	5	0.0182927	0.545455	0.0353982	40.4421	0.607743	0	0.3	1	20	0.123122	0.00304442
chrXIV	seq	rossi	_other (32 factors)	58	2365	12	2353	46	0.005074	0.206897	0.00990508			12.5			20		
chrXIV	seqem10	rossi	Abf1_murphy	32	1198	27	1171	5	0.0225376	0.84375	0.0439024	16.0463	0.659796	0	0.3	1	20	0.28947	0.0180396
chrXIV	seqem10	rossi	Mcm1_zhu	9	251	2	249	7	0.00796813	0.222222	0.0153846	13.0417	0.670614	11.5	0.3	1	20	0.0501676	0.0038467
chrXIV	seqem10	rossi	Rap1_telomeric	10	0	0	0	10		0	0	inf	0.5		0.1	0	20	0	0
chrXIV	seqem10	rossi	Reb1_badis	31	518	24	494	7	0.046332	0.774194	0.0874317	37.248	0.63639	0	0.3	1	20	0.173313	0.00465294
chrXIV	seqem10	rossi	Spt15_zhu	12	138	0	138	12	0	0	0	4.2642	0.598798		0.295961	0.986537	20	0.00661644	0.00155162
chrXIV	seqem10	macisaac	Abf1_murphy	19	1198	11	1187	8	0.00918197	0.578947	0.0180772	10.6541	0.60576	1	0.3	1	20	0.195204	0.018322
chrXIV	seqem10	macisaac	Reb1_badis	11	518	9	509	2	0.0173745	0.818182	0.0340265	37.2663	0.619793	0	0.3	1	20	0.179833	0.00482562
chrXIV	seqem10	rossi	_other (32 factors)	58	2293	17	2276	41	0.00741387	0.293103	0.0144619			13			20		
chrXIV	em10nocap	rossi	Abf1_murphy	32	1431	27	1404	5	0.0188679	0.84375	0.0369105	13.3564	0.656871	0	0.3	1	20	0.292652	0.021911
chrXIV	em10nocap	rossi	Mcm1_zhu	9	415	2	413	7	0.00481928	0.222222	0.00943396	12.7146	0.702787	12	0.3	1	20	0.0775971	0.006103
chrXIV	em10nocap	rossi	Rap1_telomeric	10	0	0	0	10		0	0	inf	0.5		0.1	0	20	0	0
chrXIV	em10nocap	rossi	Reb1_badis	31	741	24	717	7	0.0323887	0.774194	0.0621762	28.7264	0.66885	0	0.3	1	20	0.194781	0.00678056
chrXIV	em10nocap	rossi	Spt15_zhu	12	0	0	0	12		0	0	0	0.499983		0.1	0.000379198	20	0	7.68963e-09
chrXIV	em10nocap	macisaac	Abf1_murphy	19	1431	12	1419	7	0.00838574	0.631579	0.0165517	9.26272	0.610561	1	0.3	1	20	0.205503	0.022186
chrXIV	em10nocap	macisaac	Reb1_badis	11	741	9	732	2	0.0121457	0.818182	0.0239362	28.2224	0.653911	0	0.3	1	20	0.19688	0.00697602
chrXIV	em10nocap	rossi	_other (32 factors)	58	4865	21	4844	37	0.00431655	0.362069	0.00853138			12			20		
chrXIV	capA	rossi	Abf1_murphy	32	407	23	384	9	0.0565111	0.71875	0.104784	41.3514	0.668776	0	0.3	0.999999	20	0.231125	0.00558928
chrXIV	capA	rossi	Mcm1_zhu	9	802	4	798	5	0.00498753	0.444444	0.00986436	14.4807	0.697687	4	0.3	1	20	0.176916	0.0122174
chrXIV	capA	rossi	Rap1_telomeric	10	2	0	2	10	0	0	0	0	0.499837		0.299999	0.999996	20	0	6.01943e-05
chrXIV	capA	rossi	Reb1_badis	31	1480	26	1454	5	0.0175676	0.83871	0.0344143	24.5128	0.774196	0	0.3	1	20	0.359736	0.0146754
chrXIV	capA	rossi	Spt15_zhu	12	68	0	68	12	0	0	0	9.02671	0.586476		0.280546	0.935154	20	0.00727484	0.000805923
chrXIV	capA	macisaac	Abf1_murphy	19	407	8	399	11	0.019656	0.421053	0.0375587	25.0969	0.610517	1	0.3	0.999999	20	0.146321	0.00583024
chrXIV	capA	macisaac	Reb1_badis	11	1480	10	1470	1	0.00675676	0.909091	0.0134138	24.1623	0.781621	0	0.3	1	20	0.363265	0.0150343
chrXIV	capA	rossi	_other (32 factors)	58	3943	23	3920	35	0.00583312	0.396552	0.0114971			7			20		
chrXIV	capB	rossi	Abf1_murphy	32	482	17	465	15	0.0352697	0.53125	0.0661479	26.5926	0.65482	0	0.299999	0.999998	20	0.18106	0.00680868
chrXIV	capB	rossi	Mcm1_zhu	9	113	1	112	8	0.00884956	0.111111	0.0163934	21.8826	0.609875	8	0.3	0.999999	20	0.0352169	0.00160936
chrXIV	capB	rossi	Rap1_telomeric	10	3	0	3	10	0	0	0	0	0.499923		0.299999	0.999997	20	0	6.25637e-05
chrXIV	capB	rossi	Reb1_badis	31	136	15	121	16	0.110294	0.483871	0.179641	89.9168	0.586325	0	0.3	1	20	0.0970138	0.00107893
chrXIV	capB	rossi	Spt15_zhu	12	206	1	205	11	0.00485437	0.0833333	0.00917431	3.21438	0.596931	15	0.29999	0.999967	20	0.00689342	0.00214456
chrXIV	capB	macisaac	Abf1_murphy	19	482	7	475	12	0.0145228	0.368421	0.0279441	18.8102	0.595264	1	0.299999	0.999998	20	0.131287	0.00697955
chrXIV	capB	macisaac	Reb1_badis	11	136	5	131	6	0.0367647	0.454545	0.0680272	81.8088	0.59119	0	0.3	1	20	0.0965	0.00117958
chrXIV	capB	rossi	_other (32 factors)	58	3045	11	3034	47	0.00361248	0.189655	0.00708991			14			20		
