chr	start	end
chrI	1	5000
chrI	4001	9000
chrI	8001	13000
chrI	12001	17000
chrI	16001	21000
chrI	20001	25000
chrI	24001	29000
chrI	28001	33000
chrI	32001	37000
chrI	36001	41000
chrI	40001	45000
chrI	44001	49000
chrI	48001	53000
chrI	52001	57000
chrI	56001	61000
chrI	60001	65000
chrI	64001	69000
chrI	68001	73000
chrI	72001	77000
chrI	76001	81000
chrI	80001	85000
chrI	84001	89000
chrI	88001	93000
chrI	92001	97000
chrI	96001	101000
chrI	100001	105000
chrI	104001	109000
chrI	108001	113000
chrI	112001	117000
chrI	116001	121000
chrI	120001	125000
chrI	124001	129000
chrI	128001	133000
chrI	132001	137000
chrI	136001	141000
chrI	140001	145000
chrI	144001	149000
chrI	148001	153000
chrI	152001	157000
chrI	156001	161000
chrI	160001	165000
chrI	164001	169000
chrI	168001	173000
chrI	172001	177000
chrI	176001	181000
chrI	180001	185000
chrI	184001	189000
chrI	188001	193000
chrI	192001	197000
chrI	196001	201000
chrI	200001	205000
chrI	204001	209000
chrI	208001	213000
chrI	212001	217000
chrI	216001	221000
chrI	220001	225000
chrI	224001	229000
chrI	228001	230218
